placa,ano,cor,modelo,marca,valor
XEC6616,2015,VERDE,luxo,cherry,174465.49
IQF2006,2022,AZUL,off road,ford,108928.89
GGM2389,2009,AZUL,luxo,gwm,230391.38
NRS4878,2002,AZUL,luxo,vw,145733.72
IYL3656,1995,AZUL,luxo,gm,129767.29
MQJ6843,2009,BRANCO,luxo,gwm,230146.43
ZJS7263,2019,LARANJA,luxo,ford,158300.40
ZEA4329,2019,BRANCO,luxo,gm,198798.99
BUT9177,2019,LARANJA,off road,fiat,196262.03
CEY9010,2025,AZUL,luxo,vw,178725.98
AFT2125,1998,AMARELO,off road,ford,125337.54
WBD8236,2006,LARANJA,luxo,gwm,153145.81
KCO8212,2004,PRETO,off road,fiat,125658.91
YBK3517,1993,BRANCO,luxo,cherry,157409.25
BKU2627,1990,AZUL,off road,vw,130091.72
ZLY2555,2002,AZUL,standart,gwm,90515.38
WWV2148,1996,BRANCO,off road,fiat,141209.16
SRQ7792,2021,VERMELHO,off road,gm,113801.45
YSG3379,2012,PRETO,standart,ford,70413.33
OZC9243,1996,AMARELO,standart,gm,86804.99
BKN0981,2015,AZUL,luxo,gwm,126632.57
GNT1076,2009,LARANJA,luxo,vw,252441.10
MIH8115,2002,PRETO,standart,ford,129512.50
JRD4454,1995,PRETO,luxo,gwm,239215.74
NKY5844,1998,PRETO,luxo,gwm,144953.05
WAJ2367,2024,AMARELO,off road,cherry,153403.74
IXJ1113,2022,VERDE,off road,cherry,194830.78
BSE3236,2011,PRETO,luxo,gwm,174590.18
PGW1875,2008,AZUL,luxo,fiat,173397.13
FKI1006,2020,BRANCO,standart,cherry,75844.32
LCZ9360,1994,PRETO,standart,ford,117087.77
FVJ3362,2025,PRETO,luxo,gm,183373.89
GJW6340,1991,PRETO,standart,gwm,140916.57
KJT6717,1992,PRETO,luxo,vw,189489.06
BHV0467,2017,LARANJA,off road,gwm,145187.22
IER9052,1993,AMARELO,standart,ford,98930.41
LER9434,2022,BRANCO,standart,cherry,147138.99
CRN4970,2001,LARANJA,standart,vw,77597.33
OGR5470,1996,AZUL,luxo,cherry,236240.33
MMF6932,2016,VERDE,standart,gwm,76848.80
KEG0365,1994,AMARELO,off road,ford,135898.76
XFC3848,1995,LARANJA,luxo,ford,165855.37
KJU2721,2025,AZUL,off road,gwm,163586.06
JAW5099,2021,LARANJA,off road,fiat,135056.69
KFR0740,1991,AZUL,luxo,fiat,194222.08
VWF4471,1998,AZUL,luxo,ford,177732.13
ZAX5390,1999,VERMELHO,off road,ford,158740.94
VRO5444,2000,PRETO,luxo,cherry,176199.66
OMK4475,2023,AZUL,off road,fiat,158757.56
QKY0782,2005,AZUL,luxo,gwm,210594.90
YKA8888,2024,LARANJA,luxo,vw,182826.25
LMO0213,2005,AZUL,standart,vw,71950.31
KOW9212,2024,VERDE,luxo,cherry,122804.90
XQF4915,2013,VERMELHO,standart,gwm,94680.77
YIY1555,2017,VERDE,luxo,cherry,136497.61
GGK9783,1997,VERMELHO,off road,gm,197674.20
QXV1527,2009,BRANCO,standart,gm,117825.14
HBI5279,2016,VERDE,standart,fiat,111215.94
JAN4185,2005,PRETO,off road,cherry,120068.44
QOB9203,2009,AZUL,off road,vw,149387.30
SRE1596,2024,PRETO,standart,ford,124013.33
CZX9917,2005,AZUL,standart,ford,82033.23
OPD7793,2022,LARANJA,standart,vw,79368.72
WDJ4741,2008,LARANJA,luxo,gm,233432.87
WYE4093,1998,PRETO,off road,fiat,124393.22
DAO6954,1998,PRETO,standart,cherry,125463.31
GIF4471,2025,AZUL,off road,vw,141790.56
ZKV6027,2009,AZUL,standart,gm,91798.34
KNE8846,2000,BRANCO,luxo,fiat,128387.46
IFC0195,2000,AMARELO,luxo,ford,174920.42
QEN4344,2021,LARANJA,luxo,gwm,220450.57
GYC3044,2018,AMARELO,luxo,fiat,233821.77
ZNE9398,1991,PRETO,standart,ford,117666.54
GXH1915,2005,VERMELHO,luxo,fiat,232295.43
GOB7028,2017,PRETO,standart,gwm,96724.78
KUW7266,1990,AMARELO,off road,vw,100629.12
PVG5934,1997,LARANJA,luxo,vw,220580.96
BCI8116,1998,PRETO,standart,cherry,87139.76
EGL3276,2021,PRETO,off road,ford,169665.52
CQW5817,2011,AZUL,luxo,ford,145709.04
TBE2654,2002,AZUL,standart,ford,85353.00
OBG3922,2017,LARANJA,luxo,vw,228650.92
JQE1843,1992,AMARELO,standart,vw,75188.42
FTT2576,2020,VERDE,standart,vw,90652.12
ERJ6277,1999,VERDE,luxo,ford,154689.71
DZC9037,2008,AMARELO,off road,cherry,143531.85
ELO7759,2025,BRANCO,off road,cherry,123948.70
ZGW5661,1996,LARANJA,luxo,gm,127550.57
WPA0735,1997,VERDE,off road,gwm,126731.85
IVK3806,2011,PRETO,off road,fiat,193815.12
KEP5415,2016,VERMELHO,off road,gwm,199753.03
LWN7258,2016,AMARELO,standart,gm,100803.43
EVS5518,1991,PRETO,standart,gwm,104653.86
PEU2079,2006,AMARELO,standart,gm,139731.90
FWF3524,1990,VERDE,luxo,fiat,131348.03
QAI2805,2005,PRETO,standart,vw,142526.07
KKF0419,2015,AZUL,off road,ford,199735.23
USV1853,2023,PRETO,standart,gwm,139654.98
AON2786,2022,VERMELHO,off road,gwm,120097.53
RDB1273,2015,BRANCO,luxo,gwm,205962.62
QAH8899,1993,AZUL,off road,fiat,193170.91
DMT0454,2024,VERMELHO,luxo,cherry,146246.76
OSZ4717,2004,PRETO,off road,vw,158139.88
PGC1287,2014,PRETO,off road,cherry,111500.23
OZS7557,2007,PRETO,standart,gwm,136557.37
ASS8621,2022,VERDE,standart,fiat,113233.84
YJY0966,2021,AZUL,off road,gwm,118710.54
IJC3153,1992,AMARELO,off road,fiat,173455.87
EYH3120,2001,LARANJA,off road,vw,205742.44
MYH2434,2007,VERMELHO,luxo,ford,127958.64
ECZ4285,2024,AZUL,off road,vw,116874.10
MTC1099,2008,PRETO,off road,gwm,100525.05
ICR7663,2002,PRETO,standart,gm,102983.49
WDR0828,1993,PRETO,standart,fiat,98058.39
UIX0326,2018,AZUL,standart,vw,102663.98
JEA0506,2017,AZUL,standart,gwm,114697.11
QDL4158,2025,AMARELO,off road,ford,132637.10
BNR0178,2019,VERMELHO,standart,ford,142151.13
WAB3190,2018,VERMELHO,luxo,gm,143999.14
KRM8694,2020,BRANCO,luxo,ford,203589.79
ZLZ9212,2025,AMARELO,standart,vw,111175.95
TDJ5707,2011,AMARELO,off road,fiat,171249.52
CUA4229,2017,AZUL,luxo,fiat,119131.04
TQQ1162,2013,AMARELO,off road,vw,123883.69
WEM9433,2012,VERMELHO,standart,ford,126869.48
ROD1202,1998,VERMELHO,standart,ford,128444.91
WLJ5563,1990,LARANJA,standart,cherry,119991.15
ZSV7296,1991,PRETO,off road,gm,189741.33
PTK0630,1995,VERDE,standart,gwm,98191.59
QBT4294,2021,PRETO,off road,cherry,129445.67
RPU8388,2019,VERDE,standart,gm,126935.08
ZCW0919,1994,AZUL,luxo,gm,210403.48
VUY8170,2020,AMARELO,luxo,fiat,184717.59
DDM6979,2010,AZUL,luxo,ford,151441.98
PAN6990,2019,VERMELHO,standart,gm,143773.83
GNR7567,2003,LARANJA,off road,cherry,204060.24
LUB1512,2022,LARANJA,off road,vw,112832.78
BCI0652,1992,LARANJA,standart,gwm,103337.01
QCK1671,1993,PRETO,standart,cherry,120601.32
OJZ7688,2012,BRANCO,standart,fiat,98198.48
OLX4203,2012,PRETO,standart,ford,70002.47
ZGM1587,2006,VERDE,off road,vw,148229.00
WIC0274,2003,BRANCO,standart,vw,99538.95
LPL0008,2007,BRANCO,off road,vw,189381.86
XSK3709,2010,VERMELHO,standart,gm,103740.67
TWG3773,2012,LARANJA,standart,vw,127445.90
SUQ8128,1999,PRETO,standart,gwm,141194.84
VUV6020,1995,AZUL,standart,gwm,128353.93
LOU0297,2001,AZUL,off road,gm,116150.21
ZGI4032,1994,AMARELO,off road,cherry,163367.44
YRR6744,2003,VERDE,standart,vw,102512.44
TOJ7028,2003,VERDE,standart,ford,123697.60
WEN1806,2023,PRETO,standart,gwm,103972.52
SOG8389,1993,VERMELHO,standart,gwm,141004.69
XGG1218,2018,AMARELO,luxo,gwm,228230.82
AYJ9057,1992,LARANJA,luxo,vw,231846.21
AFJ9901,2012,PRETO,luxo,vw,199601.32
FVS6296,2013,AMARELO,standart,cherry,147878.59
GPI4821,2020,AZUL,luxo,gwm,233537.43
HFK7848,2022,PRETO,luxo,gwm,217414.76
QXW7639,2010,AZUL,off road,gm,166666.94
MBQ1285,2005,PRETO,luxo,fiat,143995.02
UFX6174,2010,BRANCO,luxo,gwm,154831.39
IZV2902,2003,VERDE,off road,vw,120993.76
WVH7649,2014,VERDE,luxo,fiat,204096.91
KCP7003,2005,PRETO,off road,cherry,108931.08
CVY1946,1994,AZUL,off road,fiat,141838.37
QNA3194,1990,BRANCO,off road,gwm,116274.60
KOA4897,2011,BRANCO,off road,ford,142944.86
LKE9498,1996,PRETO,luxo,ford,198800.63
CJO0600,2007,VERMELHO,standart,vw,97065.97
SAF3080,2017,AMARELO,off road,cherry,187067.91
EEH9600,1997,LARANJA,off road,fiat,143047.40
WYX0934,1990,VERMELHO,standart,ford,79269.18
BVX3545,2002,LARANJA,standart,gwm,82720.13
WZW2066,2012,LARANJA,off road,gwm,189418.52
FGW1112,2012,AZUL,standart,ford,134473.98
RLG3171,2014,VERDE,luxo,ford,199527.51
RRJ6721,2022,AZUL,luxo,vw,167213.40
RBL3695,2015,BRANCO,off road,fiat,151831.97
VBW0117,2008,VERDE,luxo,cherry,206304.81
OPR6248,2024,AMARELO,standart,vw,108590.39
XOO1430,2009,LARANJA,off road,cherry,204201.63
ZBH9462,2011,BRANCO,luxo,gwm,235471.19
UVC4901,2000,VERDE,luxo,vw,157546.67
QKB9646,1996,AZUL,standart,fiat,138528.91
MOG6830,1996,VERMELHO,luxo,gwm,250079.79
GZF4161,2000,LARANJA,off road,cherry,139024.92
NEU0106,2015,AZUL,standart,vw,142541.32
LOX4032,2000,AZUL,off road,gm,152976.72
CTF2514,1990,AZUL,luxo,gwm,190053.35
CBY0828,1996,LARANJA,standart,gwm,88298.49
AHE7588,1991,BRANCO,luxo,fiat,144264.65
FUT5130,2022,LARANJA,luxo,gm,141828.25
GMH0255,1996,VERMELHO,standart,gwm,145638.58
WIQ6196,1998,AZUL,standart,ford,76014.73
WCN4265,2010,LARANJA,standart,fiat,103735.13
CMQ5740,2019,VERDE,luxo,gm,234486.26
EQB5873,2014,LARANJA,off road,ford,120304.66
WCI2170,2015,AZUL,off road,vw,176175.07
QLY7007,2011,AMARELO,standart,cherry,112083.63
IAT1286,1993,AZUL,off road,fiat,149581.93
KCV5911,2021,AMARELO,luxo,ford,220873.38
FYH8480,2001,BRANCO,standart,gwm,117242.81
LNG5774,1993,AZUL,luxo,fiat,223773.56
BRU3099,2021,BRANCO,standart,gwm,120442.89
HCE7060,2019,LARANJA,standart,cherry,102417.42
PJN9896,1998,LARANJA,off road,ford,174261.06
XVL5504,2000,AZUL,luxo,fiat,254378.64
MXN4207,2005,AMARELO,standart,cherry,138175.28
YAM4234,2021,PRETO,standart,vw,72551.39
CBZ5354,2020,AZUL,luxo,vw,177576.15
DYZ5186,1990,AZUL,luxo,fiat,123273.71
HVE0683,2002,BRANCO,standart,gwm,85948.10
ENY3182,2023,BRANCO,off road,gm,106109.99
BGL9948,2016,BRANCO,luxo,ford,156057.59
UEG6114,2023,AZUL,off road,gwm,145349.93
WPA4837,2010,AMARELO,luxo,fiat,244214.60
AGT5433,2002,VERMELHO,luxo,gwm,213482.62
RQS7176,2018,BRANCO,standart,vw,85366.09
YJY3792,2009,PRETO,standart,ford,83723.15
YRY0138,1991,PRETO,off road,ford,205394.77
FAE8658,2016,AMARELO,standart,gm,70146.46
NFK3324,2002,VERDE,luxo,cherry,136235.59
BKY8159,1991,PRETO,standart,cherry,79460.87
HWJ3750,2006,VERMELHO,off road,vw,176037.17
GYG2166,2020,PRETO,luxo,gm,142091.35
XZI2851,2022,BRANCO,off road,ford,181445.68
KAZ2611,2005,VERMELHO,luxo,gm,222714.87
IYB8216,2025,PRETO,luxo,ford,121560.96
QOD5906,2015,VERDE,off road,gwm,162555.67
FGN3838,2005,VERDE,standart,vw,78142.16
RAF2546,2014,LARANJA,off road,vw,186780.53
WNV8480,2009,BRANCO,standart,vw,77479.14
JDQ1046,2019,PRETO,off road,ford,206069.85
QEQ2447,1993,PRETO,luxo,cherry,203099.60
NEA4757,2000,VERDE,off road,ford,135908.33
ZUZ4818,2012,VERDE,luxo,vw,136714.27
ZKE7441,2012,VERMELHO,standart,ford,106010.57
UIX0426,2022,BRANCO,luxo,gwm,231829.61
QVL8885,2012,PRETO,standart,cherry,149478.02
GNK8962,2018,AZUL,standart,fiat,129680.90
SMI5593,2009,PRETO,off road,gm,178386.25
AEW3092,2016,AMARELO,standart,ford,98552.80
QEP0400,2015,BRANCO,off road,fiat,205309.29
FRA8567,2020,LARANJA,off road,gwm,152378.94
AQT7074,2022,VERDE,standart,cherry,77466.57
IAU2054,2003,AMARELO,off road,ford,167522.07
JTP3011,1997,BRANCO,luxo,gwm,152886.32
HZL3914,2008,AMARELO,off road,gm,152177.40
GNU5827,2009,PRETO,luxo,vw,154895.70
JPD5160,2006,PRETO,luxo,vw,239761.72
EQS2943,2005,VERMELHO,standart,ford,133337.52
JDZ7238,1998,LARANJA,standart,ford,88483.21
WEA7701,2016,VERMELHO,off road,cherry,134094.69
ZCQ1816,1995,AZUL,off road,ford,138704.85
CCK0487,1998,PRETO,standart,ford,99080.11
LVG7320,2018,VERDE,luxo,fiat,242465.97
HYP2693,1992,VERDE,luxo,cherry,183369.65
NQM7282,2020,BRANCO,off road,fiat,118318.17
NLS4877,1999,BRANCO,luxo,cherry,227218.18
TLX8477,2018,LARANJA,off road,ford,186505.90
MAR6160,2009,VERDE,standart,ford,85409.27
BQK0102,2005,AMARELO,standart,ford,96284.92
VNC4858,1999,AMARELO,luxo,vw,193898.58
HQD6952,2020,LARANJA,standart,gm,133745.71
ZAV5283,2011,AMARELO,off road,vw,194051.28
SID3623,2024,LARANJA,luxo,gm,219479.81
FKS9045,2014,LARANJA,off road,gwm,186884.01
WUJ1995,2014,VERDE,luxo,vw,165872.93
YXE5250,2001,VERMELHO,standart,gm,140819.80
OFF0904,2023,AZUL,luxo,vw,124333.43
MIC5240,2010,AZUL,luxo,cherry,167056.02
XVA9451,2000,LARANJA,off road,fiat,132999.89
AJB1567,1993,AMARELO,off road,gm,120863.40
ZMG7551,1996,AMARELO,off road,gwm,176005.27
PFV3839,1994,BRANCO,luxo,fiat,190888.67
SOW5886,1993,LARANJA,off road,cherry,105920.54
EWO6192,2010,VERMELHO,luxo,ford,182042.39
RZA8116,2016,BRANCO,off road,gm,166993.06
XCR5578,1997,AZUL,standart,vw,112713.39
MGU7726,1993,VERDE,luxo,cherry,150193.47
WNG8076,2004,VERDE,standart,fiat,129116.21
BTX9408,1999,PRETO,standart,gm,116221.65
ISX8136,1991,PRETO,off road,gm,154530.90
DRP2660,2020,VERDE,luxo,ford,252248.56
AKO5196,2004,VERMELHO,standart,ford,120475.38
RHW8928,2009,PRETO,standart,gm,90626.06
MVZ1180,2011,PRETO,luxo,ford,170957.23
MAJ1359,1993,VERDE,luxo,ford,208734.84
LQP5547,2013,BRANCO,luxo,gwm,196993.60
VQC8241,2000,AZUL,luxo,fiat,252273.12
XYX6169,2003,BRANCO,luxo,gwm,211867.79
CPO1485,2019,BRANCO,standart,ford,106731.03
LPJ4760,2015,BRANCO,standart,gwm,139414.72
HAG6387,1991,BRANCO,luxo,vw,223491.10
TWY1143,2023,BRANCO,standart,gwm,80260.25
ECG9502,2023,AZUL,luxo,fiat,254722.78
YGH0496,1998,AZUL,standart,gwm,105092.57
QCP8663,1996,VERDE,off road,ford,179802.50
CNH6462,2025,VERMELHO,luxo,vw,166270.56
UIL4854,2000,AZUL,off road,gm,194528.54
YKY0630,2023,VERMELHO,off road,vw,162482.57
HGQ8275,2014,AMARELO,off road,cherry,130285.40
QSP8823,2006,PRETO,standart,gm,102479.86
TSZ1578,2017,PRETO,luxo,fiat,126432.16
JET0605,2002,VERDE,standart,gm,146825.23
ZWS4522,1995,VERMELHO,luxo,vw,159464.79
NHD6720,2003,LARANJA,off road,fiat,177758.73
VXA2479,2014,PRETO,luxo,gm,220005.21
LJC4138,2010,PRETO,standart,ford,78855.59
EDI9990,1998,VERDE,off road,cherry,170123.53
CDM4054,2001,VERMELHO,luxo,gwm,248629.41
PGO5103,2022,AMARELO,off road,fiat,165912.32
TOJ3956,2005,BRANCO,off road,cherry,207742.74
BZP6144,2002,AMARELO,standart,gwm,109346.76
IFN6154,2012,BRANCO,off road,gm,106626.03
ZSY2565,2002,BRANCO,off road,gm,163859.14
NYD6197,2012,AMARELO,luxo,vw,231828.83
IYE1092,1993,AZUL,luxo,gwm,251164.64
BZF5118,2015,VERDE,standart,gm,149566.12
GFP7901,2000,AMARELO,luxo,gm,231970.33
BOS3721,2010,LARANJA,luxo,ford,210658.80
LVM0880,1997,PRETO,off road,gwm,181046.75
OAE3558,2018,AMARELO,off road,ford,166229.02
SEG8615,2012,BRANCO,off road,gwm,113407.28
UVI0043,2021,LARANJA,off road,fiat,157779.43
CUO1491,2018,AZUL,standart,vw,112333.88
HGZ2105,2010,AMARELO,standart,vw,149756.43
WFA2995,2018,BRANCO,luxo,ford,166714.60
RIR6236,2003,VERMELHO,luxo,vw,183942.10
GUG9199,2005,VERDE,luxo,ford,184078.76
HLJ5120,2000,AMARELO,luxo,cherry,126890.35
UHX6580,2005,LARANJA,off road,cherry,170248.55
SHT9053,2002,BRANCO,luxo,ford,246140.75
TYL9721,2022,VERMELHO,off road,vw,193412.25
HQX3364,1997,LARANJA,standart,gm,129001.68
KDI5406,2014,VERDE,off road,vw,194585.81
HQX2530,2020,VERMELHO,standart,ford,75060.68
WEJ4229,1995,LARANJA,off road,fiat,145051.72
QER2369,1991,AMARELO,off road,fiat,207147.01
RIH9482,1990,AZUL,standart,cherry,124097.90
VLZ3023,1995,AZUL,off road,gwm,100734.57
OUG0029,2022,LARANJA,off road,gwm,172844.47
FGS4983,1998,VERDE,standart,cherry,140231.08
ZQX1806,1999,PRETO,luxo,gm,195692.48
YGM1148,2005,VERDE,standart,ford,140596.33
ZBU2584,2002,VERMELHO,off road,fiat,185404.17
RBD3108,2024,LARANJA,standart,vw,90018.99
LWE9815,2019,AZUL,off road,ford,130581.77
TUU1874,2025,VERDE,off road,fiat,151104.62
BSR9013,2010,VERMELHO,off road,vw,123748.11
YXS1997,2009,AMARELO,off road,cherry,152265.82
GGC5809,2007,VERMELHO,luxo,cherry,236701.87
OOJ8637,2024,VERMELHO,off road,gwm,100267.69
SJJ6895,2000,BRANCO,luxo,fiat,213925.25
RJC5924,1995,VERDE,luxo,cherry,124722.14
YGA9611,2012,VERDE,standart,gwm,126629.65
NGZ9417,2000,VERDE,standart,gwm,105772.52
WRN0375,2007,AMARELO,off road,ford,206600.45
RDE6161,2019,VERMELHO,off road,gwm,118962.19
XXI1813,2001,PRETO,off road,cherry,108782.16
QJT0199,2020,VERDE,luxo,fiat,169279.22
NWD4304,2001,BRANCO,off road,cherry,144383.99
WOH7403,2013,AMARELO,standart,gwm,101978.28
XLW2995,2023,VERMELHO,standart,vw,133934.32
WXC6088,2006,VERMELHO,luxo,fiat,179977.91
IKQ4811,2021,PRETO,standart,gwm,121719.67
AVE1357,1995,AZUL,standart,vw,143339.76
WGG4586,1998,AZUL,off road,cherry,118760.49
FLW4910,2002,PRETO,off road,gwm,140380.57
ZON4225,2025,VERDE,standart,fiat,148964.86
PMY3412,2018,BRANCO,luxo,gm,141014.45
CVC6607,2022,VERMELHO,standart,ford,70982.18
KFC7791,2001,PRETO,off road,ford,108445.59
CJS5543,1996,AZUL,luxo,vw,171742.18
GKT3581,2007,PRETO,standart,vw,103122.19
ZSJ9436,1991,VERDE,standart,ford,112962.18
RLW6322,2015,VERMELHO,luxo,cherry,237528.29
WFY2153,2004,VERMELHO,standart,vw,116169.33
MHA0232,2023,AZUL,off road,cherry,203015.74
EPE8988,2020,VERMELHO,standart,ford,115378.72
ZBR7970,2011,VERDE,off road,vw,201465.75
IZI7153,2013,VERDE,standart,fiat,93121.38
QYU5545,2018,AMARELO,luxo,fiat,248267.08
DKN2011,1997,VERDE,luxo,vw,197091.89
EOL4680,1990,BRANCO,luxo,ford,214929.53
RUJ1118,2009,BRANCO,off road,fiat,163908.70
KPE2131,1996,LARANJA,off road,fiat,124857.49
EVW1673,2020,AZUL,off road,gwm,101008.15
NJJ1027,2000,BRANCO,off road,cherry,170844.58
IKD9488,1993,AMARELO,luxo,fiat,184397.58
XVE9150,1999,AZUL,off road,fiat,204723.38
WOK6822,2019,LARANJA,off road,fiat,173294.23
XBG8657,2010,VERMELHO,standart,fiat,90398.93
CBT9400,1990,VERMELHO,standart,cherry,86164.04
UIY4864,2013,VERMELHO,off road,ford,107628.28
TBX6677,1995,BRANCO,off road,gm,163781.53
QMO4965,2014,BRANCO,standart,vw,105914.47
IKK2330,1997,VERDE,standart,fiat,135954.21
UVV4148,1991,VERMELHO,luxo,fiat,183294.89
EEA2091,2006,LARANJA,luxo,vw,181005.67
YGY6689,2009,BRANCO,off road,vw,208910.18
QHJ4140,2024,VERDE,luxo,vw,130575.99
BAY0807,2020,LARANJA,standart,vw,120747.46
KJE9518,2006,BRANCO,off road,gwm,174947.96
LPW8746,2011,VERMELHO,luxo,gm,145060.69
ZQG1478,1991,AZUL,standart,gm,121521.70
KWW9848,2022,AMARELO,off road,gm,175553.62
XQJ8088,1991,LARANJA,luxo,cherry,211730.68
IEL4808,2013,AMARELO,standart,vw,121513.28
LHI8721,2024,BRANCO,standart,ford,95004.93
VHA5173,2008,BRANCO,off road,cherry,173075.63
LXG2419,2005,AMARELO,off road,fiat,185490.08
FNX4997,1997,VERMELHO,luxo,vw,219740.24
LEN1434,1990,PRETO,luxo,gm,140511.10
SLP6355,2022,AMARELO,off road,cherry,199798.75
GXV1756,2015,BRANCO,standart,cherry,84378.57
WTT2875,1990,VERMELHO,off road,gwm,179258.78
MBM7134,2007,VERDE,off road,gwm,185929.55
WJZ5396,2018,VERDE,luxo,gm,120411.71
MBK4177,2004,BRANCO,standart,fiat,100390.31
PEM5256,2013,PRETO,luxo,cherry,212021.86
HNN5021,2009,BRANCO,luxo,ford,189555.78
ZWO0367,2001,PRETO,off road,gm,174928.82
SMG7941,1997,AMARELO,off road,gm,162338.20
HPV6987,2012,PRETO,standart,gm,100845.27
OCS7720,2020,PRETO,off road,vw,174096.16
MGD4029,1992,PRETO,standart,gm,81178.36
JYN8457,2004,AMARELO,luxo,gwm,213872.86
IWC8581,2006,LARANJA,standart,cherry,81243.57
LCO8837,2006,VERMELHO,luxo,gwm,203151.45
BEB8456,2003,VERMELHO,standart,ford,79793.92
SMJ1474,1990,LARANJA,luxo,vw,222611.29
UQE0971,1997,VERDE,standart,gm,140654.22
OTW1352,2005,BRANCO,off road,gwm,178169.97
CUR0028,2000,LARANJA,standart,ford,121999.99
YOH7175,2021,VERMELHO,standart,ford,110882.80
CVY2288,2002,AMARELO,standart,gwm,111329.32
MRS9529,2012,PRETO,standart,fiat,76238.61
XNF2760,2020,BRANCO,standart,gwm,102719.63
SDA1554,2011,BRANCO,luxo,ford,168097.52
IPV7389,2019,AZUL,luxo,cherry,140990.17
BRJ4594,2021,AZUL,luxo,cherry,156761.85
XFC2315,2016,LARANJA,off road,fiat,130871.64
AII4332,2005,AMARELO,off road,gwm,106263.78
NQB2171,2012,VERMELHO,luxo,gm,165157.54
HPP7839,2012,PRETO,standart,cherry,75453.84
FTS3865,2025,AZUL,luxo,fiat,138925.62
KFD9906,2008,LARANJA,standart,vw,119240.40
FNR8180,2005,BRANCO,off road,ford,130008.75
EOH4749,2010,VERMELHO,standart,gm,123520.02
ZJU8693,2020,AZUL,off road,gwm,178680.16
NTG9588,1999,AMARELO,luxo,gm,144150.60
OTP6456,1998,AZUL,luxo,fiat,193579.60
SGQ6414,1999,VERDE,off road,fiat,197283.69
KEA9510,1990,VERDE,luxo,fiat,130640.11
UWA3986,2006,LARANJA,luxo,cherry,182421.54
DXU9219,2003,LARANJA,standart,vw,129536.64
MLF2801,2020,AZUL,standart,vw,73546.11
EMR7716,2001,PRETO,luxo,ford,148246.15
MFG0655,2004,AMARELO,luxo,fiat,222291.12
CDY5241,1996,VERDE,standart,cherry,139835.47
KLM3676,2017,VERDE,luxo,vw,178567.90
IFX1929,2020,PRETO,luxo,cherry,152722.02
JXX3488,2005,BRANCO,standart,gwm,131539.72
KUD4124,1997,PRETO,luxo,ford,237573.03
UKT9315,1999,VERMELHO,off road,ford,187200.92
JQZ0162,2015,PRETO,off road,gwm,209839.04
EWU1035,2012,VERMELHO,standart,gm,109861.00
QFG9730,1993,BRANCO,off road,fiat,117603.08
PWE0752,1991,LARANJA,luxo,vw,124129.59
TLP9021,2004,AMARELO,off road,ford,166832.36
JFF9098,1990,BRANCO,off road,cherry,196451.57
LSK1665,2003,PRETO,off road,vw,198280.02
BEP6570,2004,AMARELO,luxo,ford,178458.11
HLR3195,2010,BRANCO,off road,fiat,200236.84
COJ0471,2021,AMARELO,standart,vw,110378.49
JKI6724,2020,BRANCO,off road,gm,197221.55
WDB0992,2008,LARANJA,luxo,fiat,145029.81
BON8317,1998,LARANJA,standart,gm,135828.18
TAW1135,2017,VERDE,luxo,fiat,128995.42
ROA0405,1998,LARANJA,standart,fiat,98459.59
MPZ9325,1992,LARANJA,off road,gwm,126719.13
RZR6488,2000,LARANJA,off road,fiat,160001.51
LWA4464,2006,AZUL,luxo,gm,247759.82
GGR7218,2000,AMARELO,off road,ford,200582.05
OLL4547,2018,LARANJA,luxo,ford,155202.37
SWH8178,1994,BRANCO,off road,vw,161207.84
QAB8013,1999,VERMELHO,off road,gwm,158450.71
VMW8507,1999,PRETO,off road,ford,200191.78
ARH5538,1998,BRANCO,off road,vw,130941.45
AIR8068,2000,VERMELHO,off road,vw,116845.37
BQD7575,2015,AMARELO,standart,vw,78852.51
MHR0720,2009,VERDE,off road,vw,172593.86
GXX0303,2006,LARANJA,luxo,fiat,147669.95
QYF8791,1992,VERMELHO,off road,vw,167936.34
KAZ5507,2012,PRETO,off road,gwm,198286.25
RDK2148,2025,VERDE,standart,cherry,132572.18
OGR5055,1992,AZUL,off road,fiat,144043.61
VSE9209,2004,LARANJA,luxo,ford,239388.42
ONK9625,2015,VERMELHO,luxo,vw,179554.65
NLV0798,2017,LARANJA,luxo,vw,121748.27
DLR0155,2023,PRETO,off road,cherry,180365.26
BND7320,2023,AMARELO,off road,cherry,182575.64
VAZ9776,1997,VERMELHO,off road,vw,150372.34
JQG9860,2023,AZUL,standart,vw,95358.60
EOB3867,2025,VERDE,off road,gm,153244.86
SPQ8643,2023,LARANJA,off road,vw,108156.32
IUA2292,2008,VERMELHO,off road,gwm,147702.49
RZT2368,1996,AZUL,standart,gm,105801.86
XNE8237,2010,VERDE,luxo,ford,202161.38
HHE9966,2025,VERDE,standart,gm,135832.42
CBX7633,2002,VERDE,off road,ford,187827.43
NJX4269,2011,AMARELO,luxo,gm,183618.93
BKR1885,1999,VERMELHO,luxo,ford,129139.82
TSC0075,2023,LARANJA,luxo,ford,121721.27
FFV5031,2012,LARANJA,luxo,gwm,181692.86
UWA9097,2010,AMARELO,luxo,ford,199605.17
WVA6252,2019,LARANJA,standart,cherry,70146.43
FSY2291,2024,VERDE,standart,gwm,143783.82
LGG7094,2003,AMARELO,standart,gm,80007.83
KUC2146,1995,BRANCO,off road,gwm,119128.02
ITG9323,1997,VERMELHO,off road,gwm,200368.44
